part_name,category,compatible_fuels,symptoms_if_broken,image_filename
Tire,Tires rims and accessories,gasoline;diesel;hybrid;electric,Vibration while driving;poor handling;blowout risk;uneven tread wear,tire.jpg
Rim / Wheel,Tires rims and accessories,gasoline;diesel;hybrid;electric,Vibration;wobbling wheel;visible cracks or bends;air leaks,rim___wheel.jpg
Center Cap,Tires rims and accessories,gasoline;diesel;hybrid;electric,Missing cosmetic cover;rattling noise from wheel area,center_cap.jpg
Wheel Spacer,Tires rims and accessories,gasoline;diesel;hybrid;electric,Vibration;wheel instability;unusual rubbing sounds,wheel_spacer.jpg
Lug Nut,Tires rims and accessories,gasoline;diesel;hybrid;electric,Wheel looseness;wobbling;risk of wheel detachment,lug_nut.jpg
Lug Bolt,Tires rims and accessories,gasoline;diesel;hybrid;electric,Wheel looseness;wobbling;risk of wheel detachment,lug_bolt.jpg
Valve Stem,Tires rims and accessories,gasoline;diesel;hybrid;electric,Slow air loss;flat tire;inability to maintain pressure,valve_stem.jpg
Valve Stem Cap,Tires rims and accessories,gasoline;diesel;hybrid;electric,Dust and debris entering valve;slow pressure loss,valve_stem_cap.jpg
Tire Pressure Monitoring Sensor (TPMS),Tires rims and accessories,gasoline;diesel;hybrid;electric,TPMS warning light on;incorrect pressure readings,tire_pressure_monitoring_sensor_tpms.jpg
Wheel Balancing Weight,Tires rims and accessories,gasoline;diesel;hybrid;electric,Steering wheel vibration;uneven tire wear;vibration at speed,wheel_balancing_weight.jpg
Tire Repair Kit (sealant + inflator),Tires rims and accessories,gasoline;diesel;hybrid;electric,Cannot temporarily repair flat tire on the road,tire_repair_kit_sealant__inflator.jpg
Snow Chain,Tires rims and accessories,gasoline;diesel;hybrid;electric,Loss of traction on snow/ice without chains,snow_chain.jpg
Tire Studs,Tires rims and accessories,gasoline;diesel;hybrid;electric,Reduced grip on ice;poor winter traction,tire_studs.jpg
Anti-theft Lug Nut / Bolt Set,Tires rims and accessories,gasoline;diesel;hybrid;electric,Wheel theft vulnerability,anti-theft_lug_nut___bolt_set.jpg
Hub Ring / Spigot Ring,Tires rims and accessories,gasoline;diesel;hybrid;electric,Vibration;hub-centric rattle;wheel imbalance,hub_ring___spigot_ring.jpg
Wheel Rim Protector,Tires rims and accessories,gasoline;diesel;hybrid;electric,Curb damage to rim edges,wheel_rim_protector.jpg
Tire Mobility Kit,Tires rims and accessories,gasoline;diesel;hybrid;electric,Inability to handle minor punctures without spare tire,tire_mobility_kit.jpg
Spare Tire (full-size),Tires rims and accessories,gasoline;diesel;hybrid;electric,No backup in case of flat tire,spare_tire_full-size.jpg
Spare Tire (compact/space-saver),Tires rims and accessories,gasoline;diesel;hybrid;electric,No backup in case of flat tire,spare_tire_compact_space-saver.jpg
Engine Oil,Oils and fluids,gasoline;diesel;hybrid,Engine knocking;overheating;seized engine;increased fuel consumption,engine_oil.jpg
Transmission Fluid (ATF),Oils and fluids,gasoline;diesel;hybrid,Rough gear shifts;slipping gears;transmission overheating,transmission_fluid_atf.jpg
Manual Gearbox Oil,Oils and fluids,gasoline;diesel;hybrid,Hard gear engagement;grinding noise when shifting;gearbox wear,manual_gearbox_oil.jpg
Brake Fluid,Oils and fluids,gasoline;diesel;hybrid;electric,Spongy brake pedal;brake fade;reduced stopping power,brake_fluid.jpg
Coolant / Antifreeze,Oils and fluids,gasoline;diesel;hybrid;electric,Engine overheating;heater not working;coolant leaks,coolant___antifreeze.jpg
Power Steering Fluid,Oils and fluids,gasoline;diesel;hybrid,Heavy steering;whining noise when turning;steering pump damage,power_steering_fluid.jpg
Differential Oil,Oils and fluids,gasoline;diesel;hybrid,Whining noise from axle;overheating differential;increased wear,differential_oil.jpg
Transfer Case Fluid,Oils and fluids,gasoline;diesel;hybrid,Grinding noise from transfer case;difficulty shifting 4WD modes,transfer_case_fluid.jpg
Windshield Washer Fluid,Oils and fluids,gasoline;diesel;hybrid;electric,Inability to clean windshield;reduced visibility,windshield_washer_fluid.jpg
Hydraulic Clutch Fluid,Oils and fluids,gasoline;diesel;hybrid,Clutch not disengaging;spongy clutch pedal,hydraulic_clutch_fluid.jpg
Fuel System Cleaner / Additive,Oils and fluids,gasoline;diesel;hybrid,Dirty injectors;poor fuel economy;rough idle,fuel_system_cleaner___additive.jpg
AdBlue / DEF (Diesel Exhaust Fluid),Oils and fluids,diesel,AdBlue warning light;engine power reduction;failed emissions test,adblue___def_diesel_exhaust_fluid.jpg
Grease (chassis/multipurpose),Oils and fluids,gasoline;diesel;hybrid;electric,Squeaking joints;accelerated wear on lubricated parts,grease_chassis_multipurpose.jpg
Air Conditioning Refrigerant (R134a / R1234yf),Oils and fluids,gasoline;diesel;hybrid;electric,No cold air from AC;compressor damage,air_conditioning_refrigerant_r134a___r1234yf.jpg
Battery Electrolyte,Oils and fluids,gasoline;diesel;hybrid;electric,Battery not holding charge;reduced battery life,battery_electrolyte.jpg
Rust Inhibitor / Underbody Coating,Oils and fluids,gasoline;diesel;hybrid;electric,Accelerated corrosion of underbody components,rust_inhibitor___underbody_coating.jpg
Brake Pad,Braking system,gasoline;diesel;hybrid;electric,Squealing/grinding noise when braking;increased stopping distance;brake fade,brake_pad.jpg
Brake Disc / Rotor,Braking system,gasoline;diesel;hybrid;electric,Vibration when braking;pulsating brake pedal;squealing noise,brake_disc___rotor.jpg
Brake Drum,Braking system,gasoline;diesel;hybrid;electric,Pulling to one side;grinding noise;reduced braking efficiency,brake_drum.jpg
Brake Shoe,Braking system,gasoline;diesel;hybrid;electric,Grinding noise;reduced braking;vehicle pulling to one side,brake_shoe.jpg
Brake Caliper,Braking system,gasoline;diesel;hybrid;electric,Uneven braking;vehicle pulling;sticking/dragging brakes;overheating,brake_caliper.jpg
Brake Master Cylinder,Braking system,gasoline;diesel;hybrid;electric,Soft or sinking brake pedal;brake fluid leak;loss of braking power,brake_master_cylinder.jpg
Brake Wheel Cylinder,Braking system,gasoline;diesel;hybrid;electric,Brake fluid leak at drum;soft pedal;poor rear braking,brake_wheel_cylinder.jpg
Brake Booster / Vacuum Servo,Braking system,gasoline;diesel;hybrid,Hard brake pedal;reduced braking assistance;hissing noise,brake_booster___vacuum_servo.jpg
