Name,Causes,OtherDetails,ImageName
Engine Temperature Warning Light,Engine temperature has exceeded normal limits | Low coolant level | Fan malfunction | Faulty radiator cap | Coolant leaks,"This light indicates the engine temperature has exceeded normal limits. Drivers should check the coolant level, fan operation, radiator cap, and for coolant leaks.",GOFAR_car-dashboard-symbols-engine-temperature-warning-light.jpg
Battery Charge Warning Light,charging system is short of power | charging system is not charging properly | problem with the battery itself | problem with the alternator,The car's charging system is short of power or not charging properly.,car-dashboard-symbols-battery-charge.jpg
Oil Pressure Warning Light,Loss of oil pressure | Low lubrication | Lost lubrication,Immediately check the oil level and pressure.,283092_Car-Dashboard-Symbols_oil-pressure_090618.jpg
Brake Warning Light,Handbrake is on | Hydraulic pressure lost in one side of the brake system | Fluid level in the master cylinder is dangerously low due to a leak,"If the light is lit continuously, it indicates a loss of hydraulic pressure or low brake fluid.",car-dashboard-symbols-brake.jpg
Transmission Temperature Indicator,Engine temperature exceeded normal limits | Low coolant level | Fan malfunction | Faulty radiator cap | Coolant leaks,"This light indicates that the engine temperature has exceeded normal limits. The driver should check the coolant level, fan operation, radiator cap, and for any coolant leaks.",car-dashboard-symbols-transmission-temp.jpg
Tire Pressure Warning Light,Low tire pressure,The indicator light means the pressure is low in one of your tires.,car-dashboard-symbols-time-pressure.jpg
Traction Control Off Indicator,TCS (traction control system) has been deactivated,The text does not specify the color of the light.,car-dashboard-symbols-traction-control-off.jpg
Security Alert Indicator,Ignition switch is locked and requires a transponder-equipped key to restart | Malfunction in the security system,"If the ignition switch is locked, the light will turn on momentarily and requires the proper transponder-equipped key to restart. If the light is visible when the vehicle is on, it indicates a malfunction in the security system.",car-dashboard-symbols-security-alert.jpg
Steering Wheel Lock Indicator Light,Steering wheel is locked,"To turn off the steering lock, insert the key into the ignition and turn it to at least the first position while turning the steering wheel in either direction.",car-dashboard-symbols-steering-wheel-lock.jpg
Trailer Tow Hitch Warning Indicator,The tow hitch is unlocked | There’s an issue with the lighting system,The color of the light is not specified.,car-dashboard-symbols-trailer-tow-hitch-warning.jpg
Traction Control Light,TCS (traction control system) is activated,The text does not specify the color of the light.,car-dashboard-symbols-traction-control-light.jpg
Service Vehicle Soon Indicator,Fault condition in the anti-lock (ABS) brake system | Fault condition in the traction control (TCS) system | Fault condition in the electronic suspension system | Fault condition in the brake hydraulic system,This light indicates a fault condition in one of the vehicle's chassis systems. The color is not specified in the text.,car-dashboard-symbols-sevice-vehicle-soon.jpg
Side Airbag Indicator,Fault with the side airbag system,The text does not specify the color of the light.,car-dashboard-symbols-side-airbag.jpg
Reduced Power Warning Indicator,Engine Computer has limited engine power output,,car-dashboard-symbols-reduced-power-warning.jpg
Seat Belt Indicator,A seat belt has not been secured for a passenger in the vehicle,The driver should ensure that all passengers have their seat belts secured.,car-dashboard-symbols-seat-belt.jpg
Press Clutch Pedal Indicator,Clutch pedal needs to be pressed,The driver should push the clutch pedal. This light typically indicates a requirement to press the clutch to perform an action like starting the engine or shifting gears.,car-dashboard-symbols-press-clutch-pedal.jpg
Powertrain Fault Indicator,A powertrain fault has been detected | An AWD fault has been detected,Contact your mechanic as soon as possible.,car-dashboard-symbols-powertrain-fault.jpg
Power Steering Warning Light,Issue with the power steering system,"Power steering will be disabled until fixed.",car-dashboard-symbols-power-steering-warning.jpg
Press Brake Pedal Indicator,Need to push the brake pedal,"Prompts the driver to step on the brake pedal to shift gears or start the car.",car-dashboard-symbols-press-brake-pedal.jpg
Parking Brake Light,Parking brake is currently engaged,"Indicates that the park brake is on. Driver should disengage it before driving.",car-dashboard-symbols-parking-brake-light.jpg
Overdrive Light,Overdrive system manually turned off,"Indicates that the vehicle’s overdrive system has been deactivated by the driver.",car-dashboard-symbols-overdrive-light.jpg
Oil Change Reminder,Oil life has expired,"Indicates it is time to change the engine oil to maintain engine health.",car-dashboard-symbols-oil-change.jpg
Master Warning Light,One or more warning systems have detected an issue,"Usually accompanied by another warning light to pinpoint the specific problem.",car-dashboard-symbols-master-warning.jpg
Information Warning Light,New message stored in the information display,"Color will be red or amber depending on the severity. It remains on until the cause is rectified.",car-dashboard-symbols-information-light-warning.jpg
Icy Road Warning Light,Outside air reaching freezing temperatures | Temperatures around 35°F or 3°C,"Warns the driver of potential icy road conditions so they can drive cautiously.",car-dashboard-symbols-icy-road-warning-light.jpg
Gas/Fuel Cap Indicator,Gas or fuel cap is not properly tightened,"The driver should pull over safely and ensure the fuel cap is securely clicked into place.",car-dashboard-symbols-gas-cap.jpg
ESP Fault / Traction Control Malfunction,Problem with the vehicle traction control system,"Indicates a fault in the Electronic Stability Program (ESP) or traction control.",car-dashboard-symbols-esp-fault-traction-control-malfunction.jpg
Electric Park Brake Indicator,Malfunction in the electric parking brake system,"Indicates the electric parking brake may not engage or disengage properly.",car-dashboard-symbols-electric-park-brake.jpg
Distance Warning Indicator,Vehicle in front is too close | Approaching a vehicle too quickly | Stationary obstacle in the direction of travel,"Warns the driver to slow down and maintain a safe following distance.",car-dashboard-symbols-distance-warning.jpg
Clogged Air Filter Indicator,Reduced airflow to the engine | Air filter is clogged,"The driver should have the engine air filter inspected and replaced to restore airflow.",car-dashboard-symbols-clogged-air-filter.jpg
Child Safety Lock Indicator,Child safety lock is active,"Confirms that the rear door child safety locks have been successfully engaged.",car-dashboard-symbols-child-safety-lock.jpg
Check Engine / Malfunction Indicator Light (MIL),Diagnostic systems detected a malfunction | Bulb check during engine startup,"If the light stays illuminated after startup, investigate the engine malfunction immediately.",car-dashboard-symbols-check-engine.jpg
Catalytic Converter Warning,Catalytic converter is overheating | Catalytic converter is not operating as intended,"Indicates an issue with the exhaust and emissions system. Driving with this can cause damage.",car-dashboard-symbols-catalytic-converter-warning.jpg
Brake Fluid Indicator,Brake fluid level is low,"The driver should check the brake fluid reservoir and refill it if necessary.",car-dashboard-symbols-brake-fluid.jpg
Brake Pad Warning,Brake pads are worn out,"Indicates that the brake pads have reached their minimum thickness and need replacement.",car-dashboard-symbols-brake-pad.jpg
Brake Lights Warning,Defective exterior brake light bulb,"The driver should check the operation of all exterior brake light bulbs and replace the faulty one.",car-dashboard-symbols-brake-lights-warning.jpg
Automatic Gearbox Warning,Gearbox malfunction | Transmission malfunction,"Indicates a problem with the automatic transmission system. The vehicle should be inspected.",car-dashboard-symbols-automatic-gearbox-warning.jpg
Anti-lock Braking System (ABS) Indicator,Malfunction in the ABS system,"The standard braking system will still work, but the anti-lock feature is disabled. Avoid hard braking.",car-dashboard-symbols-anti-lock-braking-system.jpg
All Wheel Drive (AWD/4WD) Indicator,Malfunction with the AWD or 4WD system,"Indicates an issue with the all-wheel-drive mechanism. The car may default to two-wheel drive.",car-dashboard-symbols-all-wheel-drive.jpg
Airbag Indicator,Front airbag is switched off | Fault in the airbag system | Fault in the seatbelt system,"The lamp will light up or flash if there is a fault. Have the safety systems inspected immediately.",car-dashboard-symbols-airbag.jpg
Airbag Deactivated,Passenger airbag is switched off,"Indicates the passenger airbag is deactivated. (Note: The raw text mentions a rear spoiler fault, which is likely a typo from the original website).",car-dashboard-symbols-airbag-deactivated.jpg
Adaptive Suspension Dampers Indicator,Issue with the adaptive suspension dampers,"Indicates a malfunction in the adaptive suspension. The driver needs to contact an authorized repairer.",car-dashboard-symbols-adaptive-suspension-dampers.jpg
4WD Lock Indicator,4WD Lock mode is manually activated,"Indicates that the vehicle is currently operating in 4-Wheel Drive Lock mode for maximum traction.",car-dashboard-symbols-4WD-lock-indicator.jpg
